#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
negative regulation of nitrogen compound metabolic process,Gene Ontology,GO:0051172,3,1060,0.820679288,0.892967813
cellular component biogenesis,Gene Ontology,GO:0044085,6,1939,0.821189968,0.893039196
response to stimulus,Gene Ontology,GO:0050896,25,7032,0.821527628,0.893039196
plasma membrane region,Gene Ontology,GO:0098590,1,413,0.823515066,0.894826945
nucleotide metabolic process,Gene Ontology,GO:0009117,3,1067,0.824045162,0.895030325
protein complex subunit organization,Gene Ontology,GO:0071822,4,1370,0.825129299,0.895819299
cytoplasmic vesicle membrane,Gene Ontology,GO:0030659,1,416,0.825719703,0.895819299
organonitrogen compound metabolic process,Gene Ontology,GO:1901564,6,1952,0.825875581,0.895819299
nucleoside phosphate metabolic process,Gene Ontology,GO:0006753,3,1073,0.826887035,0.895819299
anion binding,Gene Ontology,GO:0043168,8,2519,0.827111603,0.895819299
response to radiation,Gene Ontology,GO:0009314,1,418,0.827174142,0.895819299
regulation of hormone levels,Gene Ontology,GO:0010817,1,418,0.827174142,0.895819299
organic cyclic compound catabolic process,Gene Ontology,GO:1901361,3,1077,0.82875968,0.89716415
regulation of RNA metabolic process,Gene Ontology,GO:0051252,10,3081,0.829749391,0.897863147
generation of precursor metabolites and energy,Gene Ontology,GO:0006091,1,423,0.830757366,0.89858132
single-organism biosynthetic process,Gene Ontology,GO:0044711,4,1389,0.833006489,0.900640818
vesicle membrane,Gene Ontology,GO:0012506,1,428,0.834266309,0.901256236
cellular response to organonitrogen compound,Gene Ontology,GO:0071417,1,429,0.83495932,0.901631702
RNA biosynthetic process,Gene Ontology,GO:0032774,11,3391,0.839370684,0.905544317
chemical homeostasis,Gene Ontology,GO:0048878,2,783,0.839803366,0.905544317
catalytic complex,Gene Ontology,GO:1902494,2,784,0.84031737,0.905544317
negative regulation of cellular biosynthetic process,Gene Ontology,GO:0031327,3,1104,0.84095,0.905777668
organophosphate metabolic process,Gene Ontology,GO:0019637,4,1410,0.841365709,0.905777668
nucleotide binding,Gene Ontology,GO:0000166,7,2284,0.841612087,0.905777668
nucleoside phosphate binding,Gene Ontology,GO:1901265,7,2285,0.841922077,0.905777668
mitotic cell cycle phase transition,Gene Ontology,GO:0044772,1,442,0.843709159,0.906713638
cellular catabolic process,Gene Ontology,GO:0044248,6,2005,0.843971193,0.906713638
single-organism metabolic process,Gene Ontology,GO:0044710,16,4769,0.844566666,0.906713638
negative regulation of molecular function,Gene Ontology,GO:0044092,2,793,0.844876463,0.906713638
small molecule biosynthetic process,Gene Ontology,GO:0044283,1,448,0.847589591,0.90837582
endocytosis,Gene Ontology,GO:0006897,1,448,0.847589591,0.90837582
nucleobase-containing small molecule metabolic process,Gene Ontology,GO:0055086,3,1120,0.847813442,0.90837582
cell cycle phase transition,Gene Ontology,GO:0044770,1,449,0.848226899,0.90837582
negative regulation of biosynthetic process,Gene Ontology,GO:0009890,3,1121,0.848233721,0.90837582
lysosome,Gene Ontology,GO:0005764,1,450,0.848861542,0.90837582
lytic vacuole,Gene Ontology,GO:0000323,1,450,0.848861542,0.90837582
cellular response to nitrogen compound,Gene Ontology,GO:1901699,1,465,0.858068914,0.917852404
cellular amino acid metabolic process,Gene Ontology,GO:0006520,1,466,0.858662409,0.918083335
transcription factor binding,Gene Ontology,GO:0008134,1,468,0.859841964,0.918619536
protein processing,Gene Ontology,GO:0016485,3,1155,0.861933034,0.920476767
protein maturation,Gene Ontology,GO:0051604,3,1163,0.864994026,0.922650828
positive regulation of immune response,Gene Ontology,GO:0050778,1,477,0.86502934,0.922650828
regulation of cellular macromolecule biosynthetic process,Gene Ontology,GO:2000112,10,3238,0.869835495,0.926641078
chromatin modification,Gene Ontology,GO:0016568,1,488,0.871109495,0.927619658
translation,Gene Ontology,GO:0006412,1,494,0.874309715,0.930647779
lipid metabolic process,Gene Ontology,GO:0006629,3,1190,0.874887331,0.930882973
microtubule organizing center,Gene Ontology,GO:0005815,1,497,0.875879907,0.931559315
cytoskeleton organization,Gene Ontology,GO:0007010,2,866,0.877688608,0.932993205
vacuole,Gene Ontology,GO:0005773,1,501,0.877943031,0.932993205
vesicle,Gene Ontology,GO:0031982,7,2420,0.879484306,0.934250728
mitotic cell cycle,Gene Ontology,GO:0000278,2,875,0.881257659,0.935546441
RNA binding,Gene Ontology,GO:0003723,4,1526,0.881420958,0.935546441
organic substance catabolic process,Gene Ontology,GO:1901575,6,2142,0.883726098,0.937611836
macromolecular complex subunit organization,Gene Ontology,GO:0043933,4,1539,0.885310649,0.938602416
small GTPase mediated signal transduction,Gene Ontology,GO:0007264,1,516,0.885378984,0.938602416
negative regulation of macromolecule metabolic process,Gene Ontology,GO:0010605,4,1544,0.886776768,0.939702543
perinuclear region of cytoplasm,Gene Ontology,GO:0048471,1,524,0.889157824,0.941079448
microtubule cytoskeleton,Gene Ontology,GO:0015630,2,897,0.889579854,0.941144474
regulation of macromolecule metabolic process,Gene Ontology,GO:0060255,14,4468,0.892023747,0.943347642
regulation of macromolecule biosynthetic process,Gene Ontology,GO:0010556,10,3353,0.894078693,0.945137865
cellular component organization,Gene Ontology,GO:0016043,15,4775,0.896887511,0.94772324
carbohydrate derivative metabolic process,Gene Ontology,GO:1901135,4,1587,0.898722559,0.948976767
regulation of nucleobase-containing compound metabolic process,Gene Ontology,GO:0019219,11,3682,0.902057931,0.952030408
nucleobase-containing compound biosynthetic process,Gene Ontology,GO:0034654,11,3701,0.905325562,0.954785417
small molecule binding,Gene Ontology,GO:0036094,7,2550,0.908316116,0.957473774
DNA metabolic process,Gene Ontology,GO:0006259,2,957,0.909599318,0.95843933
Golgi membrane,Gene Ontology,GO:0000139,1,574,0.910110629,0.958591099
cellular component organization or biogenesis,Gene Ontology,GO:0071840,15,4870,0.911230385,0.959383342
protein complex,Gene Ontology,GO:0043234,11,3759,0.914742064,0.961529113
heterocycle biosynthetic process,Gene Ontology,GO:0018130,11,3770,0.916435905,0.962467213
regulation of nitrogen compound metabolic process,Gene Ontology,GO:0051171,11,3772,0.916740801,0.962467213
aromatic compound biosynthetic process,Gene Ontology,GO:0019438,11,3772,0.916740801,0.962467213
protein catabolic process,Gene Ontology,GO:0030163,1,596,0.918027365,0.963430407
regulation of cellular biosynthetic process,Gene Ontology,GO:0031326,10,3496,0.918883794,0.963941601
cytoskeletal part,Gene Ontology,GO:0044430,3,1344,0.919905667,0.964586448
chromosomal part,Gene Ontology,GO:0044427,1,603,0.920397088,0.964586448
negative regulation of metabolic process,Gene Ontology,GO:0009892,4,1679,0.920607219,0.964586448
chromatin organization,Gene Ontology,GO:0006325,1,616,0.92461778,0.968399841
cellular nitrogen compound biosynthetic process,Gene Ontology,GO:0044271,11,3832,0.925459434,0.968401429
membrane-bounded vesicle,Gene Ontology,GO:0031988,6,2339,0.92564594,0.968401429
regulation of biosynthetic process,Gene Ontology,GO:0009889,10,3542,0.9257324,0.968401429
endosome,Gene Ontology,GO:0005768,1,628,0.928314928,0.970713927
endoplasmic reticulum,Gene Ontology,GO:0005783,3,1385,0.929095405,0.971140972
cell projection part,Gene Ontology,GO:0044463,1,633,0.929801377,0.971489829
gene expression,Gene Ontology,GO:0010467,16,5309,0.931131759,0.972490553
organic cyclic compound biosynthetic process,Gene Ontology,GO:1901362,11,3885,0.932500692,0.973530723
single-organism carbohydrate metabolic process,Gene Ontology,GO:0044723,1,645,0.933244329,0.973633092
protein complex assembly,Gene Ontology,GO:0006461,2,1047,0.933344826,0.973633092
protein complex biogenesis,Gene Ontology,GO:0070271,2,1049,0.933798528,0.973717202
regulation of metabolic process,Gene Ontology,GO:0019222,16,5337,0.934200395,0.973747216
nucleoplasm part,Gene Ontology,GO:0044451,1,662,0.937834808,0.977145249
organonitrogen compound biosynthetic process,Gene Ontology,GO:1901566,1,670,0.93988446,0.97837106
calcium ion binding,Gene Ontology,GO:0005509,1,671,0.94013587,0.97837106
nucleolus,Gene Ontology,GO:0005730,1,689,0.944485657,0.982506005
chromosome,Gene Ontology,GO:0005694,1,702,0.947429282,0.985175469
localization,Gene Ontology,GO:0051179,13,4624,0.949291859,0.986342223
RNA metabolic process,Gene Ontology,GO:0016070,11,4034,0.949307151,0.986342223
cytoskeletal protein binding,Gene Ontology,GO:0008092,1,720,0.951249194,0.987499921
small molecule metabolic process,Gene Ontology,GO:0044281,7,2835,0.951514318,0.987499921
sequence-specific DNA binding transcription factor activity,Gene Ontology,GO:0003700,2,1141,0.951767822,0.987499921
nucleic acid binding transcription factor activity,Gene Ontology,GO:0001071,2,1142,0.951934789,0.987499921
sequence-specific DNA binding,Gene Ontology,GO:0043565,1,726,0.952459799,0.987651997
nucleoside-triphosphatase activity,Gene Ontology,GO:0017111,1,731,0.953445643,0.988281624
negative regulation of cellular metabolic process,Gene Ontology,GO:0031324,3,1541,0.955869872,0.990401098
regulation of primary metabolic process,Gene Ontology,GO:0080090,13,4707,0.95652757,0.990427265
endomembrane system,Gene Ontology,GO:0012505,8,3197,0.956654075,0.990427265
zinc ion binding,Gene Ontology,GO:0008270,2,1186,0.958757586,0.991819464
protein binding,Gene Ontology,GO:0005515,25,8172,0.958758816,0.991819464
pyrophosphatase activity,Gene Ontology,GO:0016462,1,770,0.960465703,0.993191555
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",Gene Ontology,GO:0016818,1,773,0.960959671,0.993193008
macromolecular complex assembly,Gene Ontology,GO:0065003,2,1205,0.961407413,0.993193008
"hydrolase activity, acting on acid anhydrides",Gene Ontology,GO:0016817,1,777,0.96160871,0.993193008
Golgi apparatus,Gene Ontology,GO:0005794,2,1220,0.963383072,0.994632048
regulation of cellular metabolic process,Gene Ontology,GO:0031323,13,4804,0.963819231,0.994688886
chromosome organization,Gene Ontology,GO:0051276,1,804,0.965716345,0.996007075
G-protein coupled receptor activity,Gene Ontology,GO:0004930,1,805,0.965859734,0.996007075
carbohydrate metabolic process,Gene Ontology,GO:0005975,1,826,0.968736186,0.99857877
cellular macromolecule biosynthetic process,Gene Ontology,GO:0034645,11,4294,0.969990385,0.999476868
macromolecular complex,Gene Ontology,GO:0032991,11,4311,0.97103165,0.999999991
single-organism organelle organization,Gene Ontology,GO:1902589,3,1693,0.972587295,0.999999991
single-organism transport,Gene Ontology,GO:0044765,7,3096,0.974006846,0.999999991
macromolecule biosynthetic process,Gene Ontology,GO:0009059,11,4425,0.977211357,0.999999991
transition metal ion binding,Gene Ontology,GO:0046914,2,1422,0.982126792,0.999999991
cytoskeleton,Gene Ontology,GO:0005856,3,1852,0.98355145,0.999999991
macromolecule catabolic process,Gene Ontology,GO:0009057,1,993,0.984474523,0.999999991
nucleic acid metabolic process,Gene Ontology,GO:0090304,11,4610,0.984732663,0.999999991
cytosol,Gene Ontology,GO:0005829,5,2622,0.984917264,0.999999991
vesicle-mediated transport,Gene Ontology,GO:0016192,1,1026,0.98648021,0.999999991
transport,Gene Ontology,GO:0006810,8,3699,0.98673403,0.999999991
establishment of localization,Gene Ontology,GO:0051234,8,3767,0.988795742,0.999999991
bounding membrane of organelle,Gene Ontology,GO:0098588,3,2012,0.990272525,0.999999991
regulation of cellular process,Gene Ontology,GO:0050794,22,8206,0.990430792,0.999999991
extracellular organelle,Gene Ontology,GO:0043230,2,1606,0.990821374,0.999999991
extracellular vesicular exosome,Gene Ontology,GO:0070062,2,1606,0.990821374,0.999999991
extracellular membrane-bounded organelle,Gene Ontology,GO:0065010,2,1606,0.990821374,0.999999991
macromolecule metabolic process,Gene Ontology,GO:0043170,20,7687,0.991740123,0.999999991
organelle lumen,Gene Ontology,GO:0043233,5,2844,0.99203831,0.999999991
nucleobase-containing compound metabolic process,Gene Ontology,GO:0006139,13,5550,0.992183396,0.999999991
cellular biosynthetic process,Gene Ontology,GO:0044249,12,5236,0.992285234,0.999999991
regulation of biological process,Gene Ontology,GO:0050789,23,8671,0.992907011,0.999999991
membrane-enclosed lumen,Gene Ontology,GO:0031974,5,2897,0.993185064,0.999999991
membrane region,Gene Ontology,GO:0098589,1,1210,0.993748507,0.999999991
organic substance biosynthetic process,Gene Ontology,GO:1901576,12,5339,0.993889116,0.999999991
heterocycle metabolic process,Gene Ontology,GO:0046483,13,5719,0.994621307,0.999999991
cellular aromatic compound metabolic process,Gene Ontology,GO:0006725,13,5730,0.994752226,0.999999991
biosynthetic process,Gene Ontology,GO:0009058,12,5418,0.994901312,0.999999991
nucleic acid binding,Gene Ontology,GO:0003676,7,3823,0.996106989,0.999999991
hydrolase activity,Gene Ontology,GO:0016787,3,2327,0.996635812,0.999999991
organic cyclic compound metabolic process,Gene Ontology,GO:1901360,13,5934,0.99669915,0.999999991
cellular nitrogen compound metabolic process,Gene Ontology,GO:0034641,13,5936,0.99671432,0.999999991
DNA binding,Gene Ontology,GO:0003677,3,2362,0.997016059,0.999999991
intracellular organelle lumen,Gene Ontology,GO:0070013,4,2784,0.997069585,0.999999991
cellular macromolecule metabolic process,Gene Ontology,GO:0044260,16,6962,0.997091485,0.999999991
metal ion binding,Gene Ontology,GO:0046872,7,3944,0.997216065,0.999999991
biological regulation,Gene Ontology,GO:0065007,23,9179,0.99724821,0.999999991
cation binding,Gene Ontology,GO:0043169,7,4015,0.997718373,0.999999991
nucleoplasm,Gene Ontology,GO:0005654,1,1494,0.998099514,0.999999991
ion binding,Gene Ontology,GO:0043167,12,5849,0.998164067,0.999999991
membrane,Gene Ontology,GO:0016020,18,7817,0.998171405,0.999999991
integral component of membrane,Gene Ontology,GO:0016021,10,5223,0.998422733,0.999999991
nitrogen compound metabolic process,Gene Ontology,GO:0006807,13,6306,0.998625531,0.999999991
organelle organization,Gene Ontology,GO:0006996,3,2593,0.998659407,0.999999991
organelle membrane,Gene Ontology,GO:0031090,3,2622,0.998788707,0.999999991
catalytic activity,Gene Ontology,GO:0003824,10,5326,0.998793205,0.999999991
intrinsic component of membrane,Gene Ontology,GO:0031224,10,5338,0.998830489,0.999999991
single-organism cellular process,Gene Ontology,GO:0044763,26,10758,0.999228096,0.999999991
cytoplasmic part,Gene Ontology,GO:0044444,14,7048,0.999482997,0.999999991
heterocyclic compound binding,Gene Ontology,GO:1901363,10,5674,0.999521706,0.999999991
nucleus,Gene Ontology,GO:0005634,11,6078,0.99957538,0.999999991
intracellular non-membrane-bounded organelle,Gene Ontology,GO:0043232,4,3385,0.999596915,0.999999991
non-membrane-bounded organelle,Gene Ontology,GO:0043228,4,3385,0.999596915,0.999999991
organic cyclic compound binding,Gene Ontology,GO:0097159,10,5750,0.999610822,0.999999991
organic substance metabolic process,Gene Ontology,GO:0071704,21,9500,0.999612318,0.999999991
primary metabolic process,Gene Ontology,GO:0044238,20,9200,0.999633987,0.999999991
nuclear part,Gene Ontology,GO:0044428,2,2555,0.999740341,0.999999991
cellular metabolic process,Gene Ontology,GO:0044237,19,9121,0.999793258,0.999999991
membrane part,Gene Ontology,GO:0044425,10,6176,0.999880469,0.999999991
single-organism process,Gene Ontology,GO:0044699,27,12019,0.999888754,0.999999991
nuclear lumen,Gene Ontology,GO:0031981,1,2174,0.999890271,0.999999991
metabolic process,Gene Ontology,GO:0008152,21,10094,0.999897884,0.999999991
intracellular organelle part,Gene Ontology,GO:0044446,10,6491,0.999951295,0.999999991
organelle part,Gene Ontology,GO:0044422,10,6670,0.999971009,0.999999991
binding,Gene Ontology,GO:0005488,26,12332,0.999972483,0.999999991
cytoplasm,Gene Ontology,GO:0005737,17,9569,0.999987423,0.999999991
intracellular membrane-bounded organelle,Gene Ontology,GO:0043231,17,9789,0.999992921,0.999999991
cellular process,Gene Ontology,GO:0009987,26,13287,0.999996991,0.999999991
membrane-bounded organelle,Gene Ontology,GO:0043227,17,10654,0.999999311,0.999999991
intracellular organelle,Gene Ontology,GO:0043229,17,10881,0.999999633,0.999999991
